ds,yhat
2023-01-01,50.08243387077071
2023-01-02,51.093286265767986
2023-01-03,49.70713769538406
2023-01-04,50.91483120842344
2023-01-05,50.42034339076762
2023-01-06,51.024058574822035
2023-01-07,51.51532152873257
2023-01-08,50.77416319782705
2023-01-09,51.785015592822226
2023-01-10,50.398867022439426
2023-01-11,51.606560535473704
2023-01-12,51.112072717827175
2023-01-13,51.71578790187999
2023-01-14,52.20705085019046
2023-01-15,51.46589251369434
2023-01-16,52.4767449030973
2023-01-17,51.09059632712046
2023-01-18,52.298289834562006
2023-01-19,51.803802011319924
2023-01-20,52.40751718978183
2023-01-21,52.89878013809845
2023-01-22,52.15762180159634
2023-01-23,53.168474191001145
2023-01-24,51.7823256150223
2023-01-25,52.99001912308765
2023-01-26,52.495531300464926
2023-01-27,53.09924647954926
2023-01-28,53.590509428480026
2023-01-29,52.849351092601076
2023-01-30,53.86020348262621
2023-01-31,52.47405490726904
2023-02-01,53.68174841533325
2023-02-02,53.18726059271268
2023-02-03,53.79097577179025
2023-02-04,54.282238720731854
2023-02-05,53.54108038484984
2023-02-06,54.551932765981036
2023-02-07,53.165784181731674
2023-02-08,54.37347768090666
2023-02-09,53.87898984939306
2023-02-10,54.482705019581395
2023-02-11,54.97396795962417
2023-02-12,54.23280961485338
2023-02-13,55.24366199598477
2023-02-14,53.85751341173758
2023-02-15,55.06520691090686
2023-02-16,54.57071907939368
2023-02-17,55.17443424958416
2023-02-18,55.66560055634789
2023-02-19,54.92434557830575
2023-02-20,55.935101326158325
2023-02-21,54.54885610863343
2023-02-22,55.756452974529225
2023-02-23,55.261868509737134
2023-02-24,55.865487046649044
2023-02-25,56.35665335341967
2023-02-26,55.61539837536861
2023-02-27,56.62615412322388
2023-02-28,55.23990890570072
2023-03-01,56.4475057721815
2023-03-02,55.95292130796739
2023-03-03,56.55653984546484
2023-03-04,57.047706152816545
2023-03-05,56.306451175354276
2023-03-06,57.317206923791886
2023-03-07,55.9309617068501
2023-03-08,57.13855857332827
2023-03-09,56.64397410912303
2023-03-10,57.247592646614194
2023-03-11,57.738758953967675
2023-03-12,56.9975039765067
2023-03-13,58.00825972564353
2023-03-14,56.622014509403144
2023-03-15,57.82961137658486
2023-03-16,57.3350269130755
2023-03-17,57.93864545127014
2023-03-18,58.42981175932264
2023-03-19,57.688556782562515
2023-03-20,58.69931253170413
2023-03-21,57.31306731546278
2023-03-22,58.52066418264335
2023-03-23,58.026079719131936
2023-03-24,58.629698258041344
2023-03-25,59.120864566799014
2023-03-26,58.379609590748
2023-03-27,59.390365340595466
2023-03-28,58.0041201250621
2023-03-29,59.21171699295282
2023-03-30,58.71713253015138
2023-03-31,59.32075106905079
2023-04-01,59.811917377815064
2023-04-02,59.07066240176289
2023-04-03,60.08141815161057
2023-04-04,58.69517293607626
2023-04-05,59.902769803904725
2023-04-06,59.408185341038234
2023-04-07,60.011803879881164
